"Позиция";"Обозначение";"Корпус";"Количество";"Значение";"Поставщик и справка";
1;"D4,D3";"D_SOD-323";2;"BAT60A";;;
2;"C22,C32,C3,C5,C6,C7,C8,C9,C13,C14,C15,C16,C17,C18,C21,C23,C24,C29,C30,C31";"C_0402_1005Metric";20;"0.1uF";;;
3;"C12,C11";"C_0402_1005Metric";2;"1uF";;;
4;"H4,H3,H2,H1";"PAD_2.7mm_D5.0mm";4;"MountingHole_Pad";;;
5;"U5";"SOIC-8_5.23x5.23mm_P1.27mm";1;"W25Q128JVS";;;
6;"U4";"InvenSense_QFN-24_4x4mm_P0.5mm";1;"MPU-6000";;;
7;"R14";"R_0402_1005Metric";1;"51k";;;
8;"R12";"R_0402_1005Metric";1;"1M";;;
9;"Q1,Q2";"SOT-23";2;"MMBT3904";;;
10;"Y2";"Crystal_SMD_2016-4Pin_2.0x1.6mm";1;"XRCGB27M 27MHz";;;
11;"R21,R5,R6,R20";"R_0402_1005Metric";4;"10k";;;
12;"Y1";"Resonator_SMD_muRata_CSTxExxV-3Pin_3.0x1.1mm";1;"CSTNE8M00G55Z000R0 8MHz";;;
13;"X11";"JST_SH_SM08B-SRSS-TB_1x08-1MP_P1.00mm_Horizontal";1;"SM08B-SRSS-TB(LF)(SN)";;;
14;"C10,C25";"C_0402_1005Metric";2;"22uF";;;
15;"C19,C20";"C_0402_1005Metric";2;"2.2uF";;;
16;"C26";"C_0402_1005Metric";1;"2.2nF";;;
17;"C27,C28";"C_0603_1608Metric";2;"22uF";;;
18;"D1";"LED_0402_1005Metric";1;"KPHHS-1005SURCK";;;
19;"D2";"LED_0402_1005Metric";1;"KPHHS-1005CGCK";;;
20;"IC1,IC2";"SOT-23-5";2;"MIC5319-3.3YD5-TR";;;
21;"IC3";"BMP388";1;"BMP388";;;
22;"JP1";"SolderJumper-3_P1.3mm_Open_RoundedPad1.0x1.5mm_NumberLabels";1;"SolderJumper_3_Open";;;
23;"L1";"L_Taiyo-Yuden_NR-50xx";1;"LQH5BPN100M38L 10uH 2.2A";;;
24;"Q3";"SOT-23";1;"WST03P06";;;
25;"R1,R2";"R_0402_1005Metric";2;"1k";;;
26;"R3";"R_0402_1005Metric";1;"175k";;;
27;"R4";"R_0402_1005Metric";1;"19k";;;
28;"R7,R8,R9,R10";"R_0402_1005Metric";4;"100";;;
29;"R11";"R_0402_1005Metric";1;"200R";;;
30;"R13";"R_0402_1005Metric";1;"20R";;;
31;"R15";"R_0402_1005Metric";1;"7.68k";;;
32;"R16";"R_0402_1005Metric";1;"41.2k";;;
33;"R17,R18";"R_0402_1005Metric";2;"75R";;;
34;"R19";"R_0402_1005Metric";1;"20k";;;
35;"SW1";"SW_SPST_B3U-1000P";1;"B3U-1000PM";;;
36;"U1";"LQFP-64_10x10mm_P0.5mm";1;"STM32F722RETx";;;
37;"U2";"TSOT32-8";1;"MPQ4420";;;
38;"U3";"TSSOP28-GROUNDPAD";1;"MAX7456GROUNDPAD";;;
39;"X1";"USB_Micro-B_Molex_47346-0001";1;"USB_B_Micro";;;
40;"X2";"Pad_SMD_1.5x2.0mm";1;"T4";;;
41;"X3";"Pad_SMD_1.5x2.0mm";1;"R4";;;
42;"X4,X6,X29,X30";"Pad_SMD_1.5x2.0mm";4;"GND";;;
43;"X5,X8,X27,X28";"Pad_SMD_1.5x2.0mm";4;"5V";;;
44;"X7";"Pad_SMD_1.5x2.0mm";1;"LEDS";;;
45;"X9";"Pad_SMD_1.5x2.0mm";1;"RX6";;;
46;"X10";"Pad_SMD_1.5x2.0mm";1;"TX6";;;
47;"X12";"Pad_SMD_1.5x2.0mm";1;"CAMC";;;
48;"X13";"Pad_SMD_1.5x2.0mm";1;"RX2";;;
49;"TX2";"Pad_SMD_1.5x2.0mm";1;"TX2";;;
50;"X15";"Pad_SMD_1.5x2.0mm";1;"BB-";;;
51;"X16";"Pad_SMD_1.5x2.0mm";1;"BB+";;;
52;"X17";"Pad_SMD_1.5x2.0mm";1;"CAM+";;;
53;"X18";"Pad_SMD_1.5x2.0mm";1;"VTXS";;;
54;"X19";"Pad_SMD_1.5x2.0mm";1;"CAM-";;;
55;"X20";"Pad_SMD_1.5x2.0mm";1;"VTX+";;;
56;"X21";"Pad_SMD_1.5x2.0mm";1;"CAMS";;;
57;"X22";"Pad_SMD_1.5x2.0mm";1;"VTX-";;;
58;"X23";"Pad_SMD_1.5x2.0mm";1;"TX3";;;
59;"X24";"Pad_SMD_1.5x2.0mm";1;"TX1";;;
60;"X25";"Pad_SMD_1.5x2.0mm";1;"RX3";;;
61;"X26";"Pad_SMD_1.5x2.0mm";1;"RX1";;;
62;"X31";"Pad_SMD_1.5x2.0mm";1;"TX5";;;
